Internal ID Variant (Do Not Edit);Category;SKU;Items Name (Do Not Edit);ecommerce item? (Yes/No);Pre-order ? (Yes/No);Processing days;Weight (gm);Length (cm);Width (cm);Height (cm);Condition;Brand Name;Variant name;Basic - Price;Image 1 (for Online Store);Image 2 (for Online Store);Image 3 (for Online Store);Image 4 (for Online Store);Image 5 (for Online Store);Image 6 (for Online Store);Image 7 (for Online Store);Image 8 (for Online Store);Image 9 (for Online Store);Image 10 (for Online Store);Image 11 (for Online Store);Image 12 (for Online Store);In Stock;Track Stock;Track Alert;Stock Alert;Track Cost;Cost Amount
90729564;LIQUID;;Kaze Salt : Spritzer Ice;No;No;0;;;;;;Unbranded;;80000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729565;LIQUID;;Kaze Spritzer Ice;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729566;ACCESSORIES;;Coil Caliburn G 1.0 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729569;LIQUID;;My Puff Caramel Salt;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729570;LIQUID;;My Puff Banana Salt;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729573;LIQUID;;My Oats 60ml Strawberry;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729576;MOD / POD;;Aegis Boost Pro 2;No;No;0;;;;;;Unbranded;;450000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729579;LIQUID;;Candyman Honeydew;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729580;LIQUID;;Candyman Grape;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729581;LIQUID;;Candyman Strawberry;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729582;LIQUID;;Candyman Mango;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729583;LIQUID;;Candyman Salt Pineapple;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729584;LIQUID;;Glu 60ml;No;No;0;;;;;;Unbranded;V1 Cosmo Politan;145000;;;;;;;;;;;;;0;Yes;Yes;0;No;
130034476;LIQUID;;Glu 60ml;No;No;0;;;;;;Unbranded;V9 Pink Lady;145000;;;;;;;;;;;;;0;Yes;Yes;0;No;
130034477;LIQUID;;Glu 60ml;No;No;0;;;;;;Unbranded;Zone;145000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729586;LIQUID;;Kopi Djiwa Coffe Rum Vanilla Salt;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;1;Yes;Yes;0;No;
